ID,Tweet URL,Account handle,Account name,Account type,Tweet,Tweet Translated,Tweet Type,Date posted,Likes,Replies,Retweets,Quote Tweets,Likes_zscore,Replies_zscore,Retweets_zscore,Quote Tweets_zscore,Account_Anonymous,Account_Identified,Removed any special characters and urls,Tokenized Tweet,Stemmed Tweet,Lemmatized Tweet
13-91,https://twitter.com/iamgaltookie/status/794466523721138176,@iamgaltookie,Tookie,Identified,RT RodyDu30. RT mdcoplus: That 16 times Trillanes went to China was when Del Rosario gave Scarborough Shoal to China in lieu of Reed Bank w…,RT RodyDu30 RT mdcoplus That 16 times Trillanes went to China was when Del Rosario gave Scarborough Shoal to China in lieu of Reed Bank w,Text,2016-04-11 17:09:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,RT RodyDu30 RT mdcoplus That 16 times Trillanes went to China was when Del Rosario gave Scarborough Shoal to China in lieu of Reed Bank w,rt rodydu30 rt mdcoplus 16 times trillanes went china del rosario gave scarborough shoal china lieu reed bank w,"['rt', 'rodydu30', 'rt', 'mdcoplu', '16', 'time', 'trillan', 'went', 'china', 'del', 'rosario', 'gave', 'scarborough', 'shoal', 'china', 'lieu', 'reed', 'bank', 'w']","['rt', 'rodydu30', 'rt', 'mdcoplus', '16', 'time', 'trillanes', 'went', 'china', 'del', 'rosario', 'gave', 'scarborough', 'shoal', 'china', 'lieu', 'reed', 'bank', 'w']"
13-90,https://twitter.com/QueenMoonster/status/834755578245246978,@QueenMoonster,PILIPINAS kong Mahal,Anonymous,"I remember this event when Mr.  Enrille and Trillanes fought about Scarborough Shoal. For the sold island to China
https://t.co/SYgDdKPqOD",I remember this event when Mr  Enrille and Trillanes fought about Scarborough Shoal For the sold island to China,"Text, URL",2017-02-23 21:23:00,0.0,0.0,1.0,0.0,-0.19940174254965867,-0.49865495912065505,0.05899628446619863,-0.14714972880866967,1,0,"I remember this event when Mr  Enrille and Trillanes fought about Scarborough Shoal For the sold island to China
",remember event mr enrille trillanes fought scarborough shoal sold island china,"['rememb', 'event', 'mr', 'enril', 'trillan', 'fought', 'scarborough', 'shoal', 'sold', 'island', 'china']","['remember', 'event', 'mr', 'enrille', 'trillanes', 'fought', 'scarborough', 'shoal', 'sold', 'island', 'china']"
13-89,https://twitter.com/KuyaJhuly/status/842942197641175040,@KuyaJhuly,Kuya Jhuly,Identified,Nung nakaraang Dilawan Government inakusahan si Trillanes at PNoy na IBINENTA ang Scarborough Shoal sa China...... https://t.co/o2kuKDxfuJ,"During the previous Government, Trillanes and PNoy were accused of selling Scarborough Shoal in China","Text, URL",2017-03-18 11:34:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,Nung nakaraang Dilawan Government inakusahan si Trillanes at PNoy na IBINENTA ang Scarborough Shoal sa China ,"previous government , trillanes pnoy accused selling scarborough shoal china","['previou', 'govern', ',', 'trillan', 'pnoy', 'accus', 'sell', 'scarborough', 'shoal', 'china']","['previous', 'government', ',', 'trillanes', 'pnoy', 'accused', 'selling', 'scarborough', 'shoal', 'china']"
13-88,https://twitter.com/Tokseeeek/status/843015002843832320,@Tokseeeek,Elmore Toque,Identified,How about Trillanes and PNoy selling the Scarborough shoal to China thru the backdoor negotiation of Sundalong Kanin aka Trillanes? https://t.co/6gkLAdFQ5f,How about Trillanes and PNoy selling the Scarborough shoal to China thru the backdoor negotiation of Sundalong Kanin aka Trillanes,"Text, URL, Reply",2017-03-18 16:23:00,0.0,1.0,0.0,0.0,-0.19940174254965867,0.7077683290744782,-0.15170473148451075,-0.14714972880866967,0,1,How about Trillanes and PNoy selling the Scarborough shoal to China thru the backdoor negotiation of Sundalong Kanin aka Trillanes ,trillanes pnoy selling scarborough shoal china thru backdoor negotiation sundalong kanin aka trillanes,"['trillan', 'pnoy', 'sell', 'scarborough', 'shoal', 'china', 'thru', 'backdoor', 'negoti', 'sundalong', 'kanin', 'aka', 'trillan']","['trillanes', 'pnoy', 'selling', 'scarborough', 'shoal', 'china', 'thru', 'backdoor', 'negotiation', 'sundalong', 'kanin', 'aka', 'trillanes']"
13-87,https://twitter.com/MonicoSantos/status/844066743224094720,@MonicoSantos,monico santos,Identified,Sen. Trillanes Umamin Sa Harap Ni Enrile na si Noynoy ang Utak sa Pagbenta ng Scarborough Shoal https://t.co/YaWJue6rxT,Sen Trillanes admitted before Enrile Noynoy the brain for selling Scarborough Shoal,"Text, URL",2017-03-21 14:02:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,Sen Trillanes Umamin Sa Harap Ni Enrile na si Noynoy ang Utak sa Pagbenta ng Scarborough Shoal ,sen trillanes admitted enrile noynoy brain selling scarborough shoal,"['sen', 'trillan', 'admit', 'enril', 'noynoy', 'brain', 'sell', 'scarborough', 'shoal']","['sen', 'trillanes', 'admitted', 'enrile', 'noynoy', 'brain', 'selling', 'scarborough', 'shoal']"
13-86,https://twitter.com/Alakdan1102Eric/status/909489980526829568,@Alakdan1102Eric,pinoyako,Identified,"Si Trillanes talaga ang lumakad para makuha ng China ang Scarborough Shoal, 16x bumalik sa China. TRAYDOR na Sundalo! Pinag aral ng Bansa! https://t.co/XnhWy7YhmQ",Trillanes actually walked for China to get Scarborough Shoal 16x back to China Traydor soldier -educated country,"Text, URL",2017-09-18 02:51:00,15.0,0.0,9.0,0.0,0.7256578878353557,-0.49865495912065505,1.7446044120718733,-0.14714972880866967,0,1,Si Trillanes talaga ang lumakad para makuha ng China ang Scarborough Shoal 16x bumalik sa China TRAYDOR na Sundalo Pinag aral ng Bansa ,trillanes actually walked china get scarborough shoal 16x back china traydor soldier -educated country,"['trillan', 'actual', 'walk', 'china', 'get', 'scarborough', 'shoal', '16x', 'back', 'china', 'traydor', 'soldier', '-educ', 'countri']","['trillanes', 'actually', 'walked', 'china', 'get', 'scarborough', 'shoal', '16x', 'back', 'china', 'traydor', 'soldier', '-educated', 'country']"
13-85,https://twitter.com/SicatArnold/status/920697431813185536,@SicatArnold,Arnold Sicat,Identified,"@SenRubioPress @TrillanesSonny He sell Scarborough shoal during Aquino administration,then blaming duterte administrations,HE'S A TRAITOR TO FILIPINO PEOPLE https://t.co/2M10P3kNL8",SenRubioPress TrillanesSonny He sell Scarborough shoal during Aquino administrationthen blaming duterte administrationsHES A TRAITOR TO FILIPINO PEOPLE,"Text, Reply, Image",2017-10-19 01:05:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,0,1,SenRubioPress TrillanesSonny He sell Scarborough shoal during Aquino administrationthen blaming duterte administrationsHES A TRAITOR TO FILIPINO PEOPLE ,senrubiopress trillanessonny sell scarborough shoal aquino administrationthen blaming duterte administrationshes traitor filipino people,"['senrubiopress', 'trillanessonni', 'sell', 'scarborough', 'shoal', 'aquino', 'administrationthen', 'blame', 'dutert', 'administrationsh', 'traitor', 'filipino', 'peopl']","['senrubiopress', 'trillanessonny', 'sell', 'scarborough', 'shoal', 'aquino', 'administrationthen', 'blaming', 'duterte', 'administrationshes', 'traitor', 'filipino', 'people']"
13-84,https://twitter.com/PangitQuest/status/934387316759465985,@PangitQuest,Pangit Quest,Anonymous,"@iMthinkingPinoy Traydor ang Lolo dahil sa Makapili, Traydor ang Ama dahil sa NPA at pag Benta ng Sabah, Traydor ang Anak sa ginawa sa SAF44 at sa Scarborough Shoal.. Wow Jackpot pala ang mga Aquino, parang tatlong Cherry lang sa Slot Machine..hahaha",imthinkingpinoy traitor the grandfather because the father can choose a traitor because of the NPA and sale of the sabah traitor the son of the SAF44 and the scarborough shoal wow jackpot the aquinos are just three cherries in the slot machinehahaha,"Text, Reply",2017-11-25 19:44:00,8.0,2.0,0.0,0.0,0.29396339365568236,1.9141916172696114,-0.15170473148451075,-0.14714972880866967,1,0,iMthinkingPinoy Traydor ang Lolo dahil sa Makapili Traydor ang Ama dahil sa NPA at pag Benta ng Sabah Traydor ang Anak sa ginawa sa SAF44 at sa Scarborough Shoal Wow Jackpot pala ang mga Aquino parang tatlong Cherry lang sa Slot Machinehahaha,imthinkingpinoy traitor grandfather father choose traitor npa sale sabah traitor son saf44 scarborough shoal wow jackpot aquinos three cherries slot machinehahaha,"['imthinkingpinoy', 'traitor', 'grandfath', 'father', 'choos', 'traitor', 'npa', 'sale', 'sabah', 'traitor', 'son', 'saf44', 'scarborough', 'shoal', 'wow', 'jackpot', 'aquino', 'three', 'cherri', 'slot', 'machinehahaha']","['imthinkingpinoy', 'traitor', 'grandfather', 'father', 'choose', 'traitor', 'npa', 'sale', 'sabah', 'traitor', 'son', 'saf44', 'scarborough', 'shoal', 'wow', 'jackpot', 'aquinos', 'three', 'cherry', 'slot', 'machinehahaha']"
13-83,https://twitter.com/raaaaantssssss/status/954911179977060352,@raaaaantssssss,rantsssss,Anonymous,@Jenrsato @ThinkerBelleHS @patti_parada Are you a fool? Read some articles so you'll know that BINENTA NG AQUINO ADMINISTRATION ANG WEST PHILIPPINE SEA. DUTERTE CAN'T DO NOTHING COZ WE HAVE NO RIGHT NA SA WESR PHIL SEA NANG DAHIL SA MGA DILAWAN NA YAN!,Jenrsato thinbellehs patti_parada are you a fool read some articles so youll know that the aquino administration sold the West Philippine Sea Duterte cant do nothing coz we have no right to the wesr phil sea because of those yellow,"Text, Reply",2018-01-21 10:59:00,0.0,0.0,0.0,0.0,-0.19940174254965867,-0.49865495912065505,-0.15170473148451075,-0.14714972880866967,1,0,Jenrsato ThinkerBelleHS patti_parada Are you a fool Read some articles so youll know that BINENTA NG AQUINO ADMINISTRATION ANG WEST PHILIPPINE SEA DUTERTE CANT DO NOTHING COZ WE HAVE NO RIGHT NA SA WESR PHIL SEA NANG DAHIL SA MGA DILAWAN NA YAN,jenrsato thinbellehs patti_parada fool read articles youll know aquino administration sold west philippine sea duterte cant nothing coz right wesr phil sea yellow,"['jenrsato', 'thinbelleh', 'patti_parada', 'fool', 'read', 'articl', 'youll', 'know', 'aquino', 'administr', 'sold', 'west', 'philippin', 'sea', 'dutert', 'cant', 'noth', 'coz', 'right', 'wesr', 'phil', 'sea', 'yellow']","['jenrsato', 'thinbellehs', 'patti_parada', 'fool', 'read', 'article', 'youll', 'know', 'aquino', 'administration', 'sold', 'west', 'philippine', 'sea', 'duterte', 'cant', 'nothing', 'coz', 'right', 'wesr', 'phil', 'sea', 'yellow']"
13-82,https://twitter.com/akosimelvinmagz/status/967562134912516096,@akosimelvinmagz,Melvin Magadia,Identified,@khent_08 @Jimparedes Haha 16 back-channel negotiations by trillanes during the Aquino administration. After that may activity na sa West Philippine Sea Haha alam na this. Now who sold the WPS to China Hahahahaha research research din,Khent_08 Jimparedes Haha 16 Backchannel negotiations by Trillanes during the Aquino Administration after that may act on the Philippine sea haha alam na this now old the WPPs to China Hahahahaha Research Di,"Reply, Text",2018-02-25 08:49:00,2.0,1.0,0.0,0.0,-0.07606045849832341,0.7077683290744782,-0.15170473148451075,-0.14714972880866967,0,1,khent_08 Jimparedes Haha 16 backchannel negotiations by trillanes during the Aquino administration After that may activity na sa West Philippine Sea Haha alam na this Now who sold the WPS to China Hahahahaha research research din,khent_08 jimparedes haha 16 backchannel negotiations trillanes aquino administration may act philippine sea haha alam na old wpps china hahahahaha research di,"['khent_08', 'jimpared', 'haha', '16', 'backchannel', 'negoti', 'trillan', 'aquino', 'administr', 'may', 'act', 'philippin', 'sea', 'haha', 'alam', 'na', 'old', 'wpp', 'china', 'hahahahaha', 'research', 'di']","['khent_08', 'jimparedes', 'haha', '16', 'backchannel', 'negotiation', 'trillanes', 'aquino', 'administration', 'may', 'act', 'philippine', 'sea', 'haha', 'alam', 'na', 'old', 'wpps', 'china', 'hahahahaha', 'research', 'di']"
